,NrArticolo,budgetConsuntivo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,QuantitydiOutput
5075,ART0001162,CONSUNTIVO,ODP19-01427,Fresatura,A30,RIS5,1.0,1.0
5076,ART0001923,CONSUNTIVO,ODP19-00622,Tornitura,A20,RIS2,3.5,4.0
5077,ART0001653,CONSUNTIVO,ODP19-01121,Tornitura,A20,RIS13,1.0,6.0
5078,ART0001653,CONSUNTIVO,ODP19-01121,Controllo qualità,CQ,RIS16,0.0,6.0
5079,ART0002102,CONSUNTIVO,ODP19-00369,Controllo qualità,CQ,RIS16,0.0,12.0
5080,ART0001497,CONSUNTIVO,ODP19-01121,Controllo qualità,CQ,RIS16,0.0,2.0
5081,ART0001882,CONSUNTIVO,ODP19-01110,Tornitura,A20,RIS1,3.0,0.0
5082,ART0001923,CONSUNTIVO,ODP19-00622,Saldatura,A11,RIS3,0.75,4.0
5083,ART0002042,CONSUNTIVO,ODP19-01037,Tornitura,A20,RIS2,4.0,6.0
5084,ART0002042,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS5,2.5,6.0
5085,ART0001882,CONSUNTIVO,ODP19-01110,Tornitura,A20,RIS1,6.0,12.0
5086,ART0001923,CONSUNTIVO,ODP19-00622,Tornitura,A20,RIS2,4.0,0.0
5087,ART0002042,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS5,3.0,6.0
5088,ART0002042,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS5,-2.5,0.0
5089,ART0001830,CONSUNTIVO,ODP19-00621,Controllo qualità,CQ,RIS16,0.0,5.0
5090,ART0001813,CONSUNTIVO,ODP19-00622,Controllo qualità,CQ,RIS16,0.0,4.0
5091,ART0001514,CONSUNTIVO,ODP19-00621,Controllo qualità,CQ,RIS16,0.0,5.0
5092,ART0002133,CONSUNTIVO,ODP19-01037,Tornitura,A20,RIS2,2.75,6.0
5093,ART0002133,CONSUNTIVO,ODP19-01037,Saldatura,A11,RIS3,1.17,6.0
5094,ART0001170,CONSUNTIVO,ODP19-00647,Tornitura,A20,RIS2,1.5,1.0
5095,ART0001923,CONSUNTIVO,ODP19-00622,Fresatura,A30,RIS5,4.5,0.0
5096,ART0001923,CONSUNTIVO,ODP19-00622,Fresatura,A30,RIS5,0.5,4.0
5097,ART0002041,CONSUNTIVO,ODP19-01037,Controllo qualità,CQ,RIS16,0.0,6.0
5098,ART0002451,CONSUNTIVO,ODP19-01039,Controllo qualità,CQ,RIS16,0.0,4.0
5099,ART0002860,CONSUNTIVO,ODP19-01037,Controllo qualità,CQ,RIS16,0.0,6.0
5100,ART0002859,CONSUNTIVO,ODP19-01037,Controllo qualità,CQ,RIS16,0.0,6.0
5101,ART0001170,CONSUNTIVO,ODP19-00647,Fresatura,A30,RIS5,0.5,0.0
5102,ART0002133,CONSUNTIVO,ODP19-01037,Tornitura,A20,RIS2,4.25,0.0
5103,ART0001170,CONSUNTIVO,ODP19-00647,Saldatura,A11,RIS3,0.25,1.0
5104,ART0001170,CONSUNTIVO,ODP19-00647,Tornitura,A20,RIS2,1.75,0.0
5105,ART0001890,CONSUNTIVO,ODP19-01583,Tornitura,A20,RIS1,3.5,2.0
5106,ART0001890,CONSUNTIVO,ODP19-01583,Fresatura,A30,RIS1,1e-05,2.0
5107,ART0002919,CONSUNTIVO,ODP19-01121,Tornitura,A20,RIS2,1.0,2.0
5108,ART0002918,CONSUNTIVO,ODP19-01121,Tornitura,A20,RIS2,1.25,2.0
5109,ART0005136,CONSUNTIVO,ODP19-01582,Tornitura,A20,RIS13,0.5,1.0
5110,ART0005136,CONSUNTIVO,ODP19-01582,Controllo qualità,CQ,RIS16,0.0,1.0
5111,ART0002133,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS5,1.0,6.0
5112,ART0001170,CONSUNTIVO,ODP19-00647,Fresatura,A30,RIS5,1.0,1.0
5113,ART0002938,CONSUNTIVO,ODP19-01424,Tornitura,A20,RIS2,1.5,1.0
5114,ART0001615,CONSUNTIVO,ODP19-01037,Tornitura,A20,RIS13,3.0,24.0
5115,ART0001615,CONSUNTIVO,ODP19-01037,Controllo qualità,CQ,RIS16,0.0,24.0
5116,ART0005136,CONSUNTIVO,ODP19-01665,Tornitura,A20,RIS13,0.75,2.0
5117,ART0005136,CONSUNTIVO,ODP19-01665,Fresatura,A30,RIS13,0.25,2.0
5118,ART0005136,CONSUNTIVO,ODP19-01665,Controllo qualità,CQ,RIS16,0.0,2.0
5119,ART0005136,CONSUNTIVO,ODP19-01582,Tornitura,A20,RIS13,0.169,1.0
5120,ART0005136,CONSUNTIVO,ODP19-01582,Fresatura,A30,RIS13,0.08,1.0
5121,ART0005136,CONSUNTIVO,ODP19-01582,Controllo qualità,CQ,RIS16,0.0,1.0
5122,ART0005111,CONSUNTIVO,ODP19-01118,Fresatura,A30,RIS14,1.0,2.0
5123,ART0005112,CONSUNTIVO,ODP19-01118,Fresatura,A30,RIS14,1.0,2.0
5124,ART0002517,CONSUNTIVO,ODP19-01120,Controllo qualità,CQ,RIS16,0.0,3.0
5125,ART0002897,CONSUNTIVO,ODP19-01119,Fresatura,A30,RIS14,5.0,2.0
5126,ART0002897,CONSUNTIVO,ODP19-01119,Tornitura,A20,RIS14,0.01,0.0
5127,ART0002897,CONSUNTIVO,ODP19-01119,Fresatura,A30,RIS14,1.5,0.0
5128,ART0002938,CONSUNTIVO,ODP19-01424,Fresatura,A30,RIS5,0.75,1.0
5129,ART0000119,CONSUNTIVO,ODP19-01591,Fresatura,A30,RIS14,5.5,5.0
5130,ART0002919,CONSUNTIVO,ODP19-01121,Fresatura,A30,RIS5,1.5,2.0
5131,ART0002360,CONSUNTIVO,ODP19-00617,Brocciatura / stozzatrice,A33,RIS13,1.0,2.0
5132,ART0002360,CONSUNTIVO,ODP19-00617,Controllo qualità,CQ,RIS16,0.0,2.0
5133,ART0005136,CONSUNTIVO,ODP19-01693,Tornitura,A20,RIS2,2.75,6.0
5134,ART0001898,CONSUNTIVO,ODP19-01669,Tornitura,A20,RIS1,7.5,8.0
5135,ART0005110,CONSUNTIVO,ODP19-01118,Fresatura,A30,RIS14,0.25,2.0
5136,ART0005136,CONSUNTIVO,ODP19-01693,Controllo qualità,CQ,RIS16,0.0,6.0
5137,ART0002918,CONSUNTIVO,ODP19-01121,Fresatura,A30,RIS5,1.5,2.0
5138,ART0001174,CONSUNTIVO,ODP19-00647,Fresatura,A30,RIS14,2.0,1.0
5139,ART0002360,CONSUNTIVO,ODP19-01041,Tornitura,A20,RIS2,1.75,2.0
5140,ART0003135,CONSUNTIVO,ODP19-00620,Fresatura,A30,RIS4,0.25,4.0
5141,ART0003135,CONSUNTIVO,ODP19-00620,Controllo qualità,CQ,RIS16,0.0,4.0
