,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
160,24452,BUDGET,ART0005428,ART0000697,ODP17-02601,160.0,1.68
161,27155,BUDGET,ART0005428,ART0000697,ODP17-05737,160.0,1.68
162,28864,BUDGET,ART0005428,ART0000697,ODP17-07536,100.0,1.05
163,38400,CONSUNTIVO,ART0005428,ART0000697,ODP18-02126,470.0,4.94
164,49633,CONSUNTIVO,ART0005428,ART0000697,ODP18-07593,250.0,2.63
165,49634,CONSUNTIVO,ART0006004,ART0000697,ODP18-07593,35.0,0.0
166,49635,CONSUNTIVO,ART0005216,ART0000697,ODP18-07593,5.0,0.0
167,24536,BUDGET,ART0005432,ART0000748,ODP17-02386,49.0,171.5
168,24537,BUDGET,ART0005433,ART0000748,ODP17-02386,49.0,49.0
169,24538,BUDGET,ART0005242,ART0000748,ODP17-02386,98.0,125.44
170,24539,BUDGET,ART0005243,ART0000748,ODP17-02386,49.0,5.49
171,24540,BUDGET,ART0001868,ART0000748,ODP17-02386,49.0,1278.86
172,24541,BUDGET,ART0001756,ART0000748,ODP17-02386,49.0,950.0
173,28241,BUDGET,ART0001868,ART0000748,ODP17-05535,50.0,1348.54
174,28242,BUDGET,ART0001756,ART0000748,ODP17-05535,50.0,1100.0
175,28243,BUDGET,ART0005432,ART0000748,ODP17-05535,50.0,175.0
176,28244,BUDGET,ART0005433,ART0000748,ODP17-05535,50.0,50.0
177,28245,BUDGET,ART0005242,ART0000748,ODP17-05535,100.0,128.0
178,28246,BUDGET,ART0005243,ART0000748,ODP17-05535,50.0,5.6
179,28247,BUDGET,ART0005677,ART0000748,ODP17-05535,50.0,12.6
180,34074,BUDGET,ART0001868,ART0000748,ODP17-10871,50.0,1308.66
181,34075,BUDGET,ART0001756,ART0000748,ODP17-10871,50.0,1212.5
182,34076,BUDGET,ART0005432,ART0000748,ODP17-10871,50.0,175.0
183,34077,BUDGET,ART0005433,ART0000748,ODP17-10871,50.0,50.0
184,34078,BUDGET,ART0005242,ART0000748,ODP17-10871,100.0,142.63
185,34079,BUDGET,ART0005243,ART0000748,ODP17-10871,50.0,5.6
186,34080,BUDGET,ART0005677,ART0000748,ODP17-10871,50.0,12.6
