,NrMovimento,budget/cons,NrArticolo,NrOrigine,Quantity,ImportoVenditaInValutaLocaleTOTALEVENDITA
1374,38763,Consuntivo,ART0004386,C00004,18,126.0
1375,38777,Consuntivo,ART0001149,C00140,2,38.64
1376,38778,Consuntivo,ART0001149,C00140,2,38.64
1377,38781,Consuntivo,ART0002551,C00140,1,410.0
1378,38782,Consuntivo,ART0002551,C00140,1,410.0
1379,38783,Consuntivo,ART0002551,C00140,1,410.0
1380,38784,Consuntivo,ART0001590,C00140,15,70.5
1381,38794,Consuntivo,ART0000758,C00140,3,880.8
1382,38795,Consuntivo,ART0000778,C00140,2,634.8
1383,38796,Consuntivo,ART0000778,C00140,1,317.4
1384,38797,Consuntivo,ART0000748,C00140,44,3828.0
1385,38798,Consuntivo,ART0000782,C00140,2,590.0
1386,38799,Consuntivo,ART0000851,C00140,15,2691.0
1387,38801,Consuntivo,ART0004375,C00004,10,200.0
1388,38817,Consuntivo,ART0005136,C00455,1,520.0
1389,38836,Consuntivo,ART0000152,C00026,5,235.0
1390,38839,Consuntivo,ART0000313,C00026,6,168.0
1391,38841,Consuntivo,ART0003824,C00026,10,110.0
1392,38961,Consuntivo,ART0001743,C00140,1,855.6
1393,38962,Consuntivo,ART0001743,C00140,1,855.6
1394,38963,Consuntivo,ART0001743,C00140,1,855.6
1395,38967,Consuntivo,ART0002451,C00140,1,271.4
1396,38968,Consuntivo,ART0002451,C00140,1,271.4
1397,38969,Consuntivo,ART0002451,C00140,1,271.4
1398,38980,Consuntivo,ART0000826,C00140,1,930.0
1399,39074,Consuntivo,ART0002530,C00140,5,220.0
1400,39081,Consuntivo,ART0001244,C00140,1,485.0
1401,39082,Consuntivo,ART0001740,C00140,1,150.0
1402,39094,Consuntivo,ART0001994,C00140,8,304.0
1403,39213,Consuntivo,ART0005136,C00015,10,45.0
1404,39228,Consuntivo,ART0000853,C00140,10,3220.0
1405,39232,Consuntivo,ART0002048,C00140,12,240.0
1406,39233,Consuntivo,ART0002048,C00140,4,80.0
1407,39240,Consuntivo,ART0001422,C00140,8,36.8
1408,39243,Consuntivo,ART0003099,C00140,2,64.4
1409,39246,Consuntivo,ART0002866,C00140,3,231.0
1410,39252,Consuntivo,ART0005136,C00117,8,152.0
1411,39293,Consuntivo,ART0000762,C00140,10,3580.0
1412,39294,Consuntivo,ART0002267,C00140,2,196.0
1413,39295,Consuntivo,ART0002494,C00140,3,356.04
1414,39297,Consuntivo,ART0002214,C00140,1,95.0
1415,39298,Consuntivo,ART0002909,C00140,12,1020.0
1416,39299,Consuntivo,ART0002909,C00140,4,340.0
1417,39300,Consuntivo,ART0002498,C00140,1,70.0
1418,39301,Consuntivo,ART0002498,C00140,1,70.0
1419,39310,Consuntivo,ART0002224,C00140,4,312.0
1420,39357,Consuntivo,ART0001046,C00471,1,65.0
1421,39358,Consuntivo,ART0001046,C00471,1,65.0
1422,39359,Consuntivo,ART0001047,C00471,5,335.0
1423,39376,Consuntivo,ART0002444,C00140,4,140.0
1424,39377,Consuntivo,ART0002444,C00140,12,420.0
1425,39379,Consuntivo,ART0002531,C00140,5,414.0
1426,39386,Consuntivo,ART0002614,C00140,1,330.0
1427,39387,Consuntivo,ART0002706,C00140,1,320.0
1428,39388,Consuntivo,ART0002707,C00140,1,230.0
1429,39397,Consuntivo,ART0000229,C00026,98,3528.0
1430,39400,Consuntivo,ART0000227,C00026,40,2400.0
1431,39436,Consuntivo,ART0004718,C00473,6,150.0
1432,39505,Consuntivo,ART0000786,C00140,1,355.6
1433,39506,Consuntivo,ART0000786,C00140,1,355.6
1434,39590,Consuntivo,ART0004397,C00004,105,4410.0
1435,39720,Consuntivo,ART0005136,C00344,1,80.0
1436,39723,Consuntivo,ART0002897,C00140,2,500.0
1437,39725,Consuntivo,ART0002739,C00140,5,175.0
