,NrArticolo,ImpiegoStandard,ImpiegoEffettivo,scostamento
350,ART0002615,5.34,21.7872,-16.4472
351,ART0002617,3.8,3.9085714285714284,-0.10857142857142854
352,ART0002619,7.7,15.4,-7.7
353,ART0002628,2.59,3.2806666666666664,-0.6906666666666665
354,ART0002706,56.0,84.0,-28.0
355,ART0002707,41.0,61.5,-20.5
356,ART0002712,16.68,400.32,-383.64
357,ART0002718,50.0,50.0,0.0
358,ART0002719,43.0,43.0,0.0
359,ART0002739,8.04,35.340659340659336,-27.300659340659337
360,ART0002740,325.67,498.78629276895947,-173.11629276895945
361,ART0002747,133.1,53.239999999999995,79.86
362,ART0002753,9.3,9.713333333333335,-0.413333333333334
363,ART0002755,23.02,31.165538461538464,-8.145538461538465
364,ART0002793,860.0,1470.6,-610.5999999999999
365,ART0002829,222.2,69.83428571428571,152.36571428571426
366,ART0002836,348.33,353.8590476190476,-5.529047619047617
367,ART0002859,161.0,207.0,-46.0
368,ART0002860,161.0,207.0,-46.0
369,ART0002866,230.07,250.22211678832116,-20.152116788321166
370,ART0002867,80.4,98.2502752293578,-17.85027522935779
371,ART0002882,8.14,16.28,-8.14
372,ART0002886,15.41,10.74030303030303,4.66969696969697
373,ART0002895,51.76,77.64,-25.880000000000003
374,ART0002896,51.76,77.64,-25.880000000000003
375,ART0002897,131.25,132.01979472140764,-0.769794721407635
376,ART0002909,44.92,7.030956521739131,37.889043478260874
377,ART0002918,98.03,132.34050000000002,-34.31050000000002
378,ART0002919,95.59,113.2467515923567,-17.6567515923567
379,ART0002938,125.62,47.1075,78.5125
380,ART0002949,49.69,17.74642857142857,31.943571428571428
381,ART0002958,8.07,12.105,-4.035
382,ART0002959,15.35,24.02608695652174,-8.676086956521742
383,ART0002961,30.42,33.462,-3.0420000000000016
384,ART0002962,30.42,33.462,-3.0420000000000016
385,ART0002963,27.38,30.42222222222222,-3.0422222222222217
386,ART0002968,15.62,21.086999999999996,-5.466999999999997
387,ART0002969,11.72,18.752,-7.031999999999998
388,ART0002978,38.03,21.2968,16.7332
389,ART0002988,58.35,116.7,-58.35
390,ART0002989,38.02,59.31120000000001,-21.291200000000003
391,ART0002990,25.41,51.4976,-26.0876
392,ART0002996,51.76,50.83571428571429,0.924285714285709
393,ART0002997,190.0,190.0,0.0
394,ART0003099,4.5,3.9899999999999998,0.5100000000000002
395,ART0003101,4.21,13.532142857142857,-9.322142857142858
396,ART0003105,0.65,1.3118181818181818,-0.6618181818181817
397,ART0003132,1.05,2.6433566433566438,-1.5933566433566437
398,ART0003135,108.0,108.0,0.0
399,ART0003160,25.63,12.815,12.815
400,ART0003164,22.3,48.83128205128205,-26.53128205128205
401,ART0003167,0.67,1.6481999999999999,-0.9781999999999998
402,ART0003169,76.67,110.9268085106383,-34.256808510638294
403,ART0003189,109.2,126.0,-16.799999999999997
404,ART0003195,2.32,5.694545454545454,-3.3745454545454545
405,ART0003197,36.0,48.0,-12.0
406,ART0003202,44.8,44.8,0.0
407,ART0003263,0.02,0.061,-0.040999999999999995
408,ART0003268,0.96,2.949446808510638,-1.989446808510638
409,ART0003269,4.97,24.764656565656566,-19.794656565656567
410,ART0003275,0.88,1.0685714285714285,-0.1885714285714285
411,ART0003277,9.82,8.129069518716578,1.6909304812834218
412,ART0003309,22.659999999999997,11.670386266094418,10.989613733905578
413,ART0003310,14.2,13.616438356164382,0.5835616438356173
414,ART0003578,23.8,9.520000000000001,14.28
