,CodiceMP,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
193,ART0005758,0.48,0.57,-0.08999999999999997
194,ART0005875,8.0,8.13,-0.13000000000000078
195,ART0005908,19.8,19.96,-0.16000000000000014
196,ART0005548,4.88,5.0600000000000005,-0.1800000000000006
197,ART0005374,221.6,221.85,-0.25
198,ART0005487,0.0,0.64,-0.64
199,ART0005146,0.0,0.64,-0.64
200,ART0005648,1.92,2.56,-0.6400000000000001
201,ART0001813,583.9300000000001,584.5999999999999,-0.6699999999998454
202,ART0005702,1.0,1.72,-0.72
203,ART0005846,0.02,0.76,-0.74
204,ART0005223,0.9000000000000001,1.6800000000000002,-0.78
205,ART0005839,0.32,1.28,-0.96
206,ART0005427,0.96,2.1,-1.1400000000000001
207,ART0005513,4.66,5.93,-1.2699999999999996
208,ART0005674,57.85,59.16,-1.3099999999999952
209,ART0005282,2.64,3.95,-1.31
210,ART0005888,0.36,1.76,-1.4
211,ART0005300,1.9100000000000001,3.3199999999999994,-1.4099999999999993
212,ART0005671,2.54,4.03,-1.4900000000000002
213,ART0005716,0.14,1.8900000000000001,-1.75
214,ART0001080,1.21,2.97,-1.7600000000000002
215,ART0005813,2.46,4.5600000000000005,-2.1000000000000005
216,ART0005230,1.17,3.43,-2.2600000000000002
217,ART0005318,0.0,2.28,-2.28
218,ART0005856,44.35,46.87,-2.519999999999996
219,ART0001411,22.28,25.0,-2.719999999999999
220,ART0005226,3.3,6.09,-2.79
221,ART0004154,4.2,7.15,-2.95
222,ART0005446,9.55,12.66,-3.1099999999999994
223,ART0005141,10.030000000000001,13.21,-3.1799999999999997
224,ART0005778,24.0,27.2,-3.1999999999999993
225,ART0005385,2.32,5.67,-3.35
226,ART0005660,10.36,13.790000000000003,-3.4300000000000033
227,ART0005290,66.0,69.6,-3.5999999999999943
228,ART0005477,2.59,6.46,-3.87
229,ART0005428,4.41,8.340000000000002,-3.9300000000000015
230,ART0005851,17.84,21.81,-3.969999999999999
